time,latitude,longitude,depth,mag,magType,M0,Mw
1990-05-20T02:22:01.620Z,5.121,32.145,14.9,7.2,mw,26.900,7.200
1990-05-24T20:00:08.190Z,5.358,31.848,16,7.1,mw,26.750,7.100
2006-02-22T22:19:07.800Z,-21.324,33.583,11,7,mwb,26.600,7.000
2005-12-05T12:19:56.620Z,-6.224,29.83,22,6.8,mwc,26.300,6.800
1977-12-28T02:45:36.700Z,16.659,40.278,33,6.6,ms,25.590,6.492
1990-07-09T15:11:20.380Z,5.395,31.654,12.6,6.6,mw,26.000,6.600
1989-08-20T11:16:56.510Z,11.766,41.942,11.6,6.5,mw,25.850,6.500
1990-05-24T19:34:44.240Z,5.277,31.829,16.5,6.5,mw,25.850,6.500
2000-10-02T02:25:31.310Z,-7.977,30.709,34,6.5,mwb,25.850,6.500
2017-04-03T17:40:18.560Z,-22.6784,25.1558,29,6.5,mww,25.850,6.500
1985-05-14T18:11:08.950Z,-10.562,41.424,10,6.4,mw,25.700,6.400
1989-08-21T01:09:06.630Z,11.874,41.87,15.8,6.4,mw,25.700,6.400
1992-09-11T03:57:26.500Z,-6.087,26.651,10.8,6.4,mwb,25.700,6.400
1982-12-13T09:12:48.050Z,14.701,44.379,5,6.3,mw,25.550,6.300
1987-10-25T16:46:13.380Z,5.409,36.751,12,6.3,mw,25.550,6.300
1989-03-10T21:49:45.860Z,-13.702,34.42,30.3,6.2,mb,25.829,6.300
1992-03-05T08:55:05.600Z,11.513,42.812,7.4,6.2,mw,25.400,6.200
1994-02-05T23:34:09.970Z,0.593,30.037,14.2,6.2,mwb,25.400,6.200
2002-10-24T06:08:37.980Z,-1.884,29.004,11,6.2,mwc,25.400,6.200
1989-08-20T11:46:28.070Z,11.884,41.812,10,6.1,mw,25.250,6.100
1989-08-20T13:26:19.430Z,11.88,41.88,10,6.1,ms,25.090,6.157
1989-08-20T19:25:56.510Z,11.904,41.824,11.7,6.1,mw,25.250,6.100
1989-08-21T05:03:05.600Z,11.942,41.769,9.7,6.1,mw,25.250,6.100
1985-05-14T13:24:57.830Z,-10.61,41.423,10,6,mw,25.100,6.000
1987-10-28T08:58:29.190Z,5.74,36.73,10,6,mw,25.100,6.000
2009-12-19T23:19:15.550Z,-10.108,33.818,6,6,mwc,25.100,6.000
1976-07-01T11:24:05.300Z,-29.522,25.182,33,5.9,mb,24.920,6.045
1994-04-11T11:20:21.490Z,11.735,42.859,15.5,5.9,mw,24.950,5.900
1994-08-18T00:45:47.200Z,-7.433,31.751,25.2,5.9,mwb,24.950,5.900
1997-09-21T18:13:22.780Z,-7.36,30.37,10,5.9,mwc,24.950,5.900
2007-06-15T18:49:53.390Z,1.719,30.834,24,5.9,mwb,24.950,5.900
2007-07-17T14:10:42.460Z,-2.734,36.362,8,5.9,mwb,24.950,5.900
2008-02-03T07:34:12.180Z,-2.296,28.9,10,5.9,mwb,24.950,5.900
2009-12-08T03:08:57.240Z,-9.948,33.878,8,5.9,mwc,24.950,5.900
2016-09-10T12:27:33.410Z,-1.0355,31.6181,40,5.9,mww,24.950,5.900
2017-02-24T00:32:17.800Z,-8.4404,30.0305,30,5.9,mww,24.950,5.900
1981-11-18T09:17:30.460Z,-2.282,22.813,7,5.8,mb,24.617,5.960
1983-07-07T20:35:38.150Z,-7.271,27.844,10,5.8,mb,24.617,5.960
1986-06-29T21:47:59.670Z,-5.336,29.539,20.2,5.8,mw,24.800,5.800
1989-08-21T05:05:45.390Z,11.821,41.732,10,5.8,mw,24.800,5.800
2007-03-28T21:17:10.650Z,-6.268,29.673,8,5.8,mwc,24.800,5.800
2009-12-06T17:36:36.010Z,-10.126,33.87,9,5.8,mwb,24.800,5.800
2015-08-07T01:25:02.540Z,-2.1412,28.8973,11,5.8,mww,24.800,5.800
1976-09-19T14:59:43.700Z,-11.056,32.857,27,5.7,ms,24.690,5.889
1980-01-14T04:10:54.000Z,16.518,40.268,10,5.7,ms,24.690,5.889
1981-02-17T16:53:14.430Z,-23.09,39.479,33,5.7,ms,24.690,5.889
1985-02-23T14:45:35.940Z,-6.966,30.928,10,5.7,mb,24.314,5.875
1986-05-23T09:51:24.460Z,12.699,48.179,10,5.7,mw,24.650,5.700
1989-03-09T02:37:00.470Z,-13.71,34.381,29.6,5.7,mw,24.650,5.700
1989-08-20T18:39:48.890Z,11.985,41.87,10,5.7,mw,24.650,5.700
1993-03-13T17:12:26.200Z,19.626,38.799,10,5.7,mw,24.650,5.700
1993-09-21T19:11:35.940Z,11.478,39.638,15.2,5.7,mw,24.650,5.700
